gen	nevals	Avg   	Std    	Min	Max
0  	100   	238.19	11.6779	213	272
1  	49    	229.25	8.05652	210	252
2  	62    	224.28	7.43919	204	245
3  	47    	219.32	7.22617	202	239
4  	62    	215.25	6.36769	202	236
5  	66    	210.91	6.95858	198	239
6  	55    	207.17	7.09092	188	226
7  	77    	202.8 	7.98248	180	231
8  	63    	197.6 	6.81762	184	229
9  	75    	193.48	7.29997	179	214
10 	59    	189.7 	6.8942 	178	208
11 	44    	186.72	5.79669	175	207
12 	54    	184.73	6.17066	175	207
13 	61    	182.04	6.05297	168	201
14 	73    	179.62	6.76724	167	204
15 	59    	176.63	7.4601 	165	201
16 	60    	173.44	8.09484	159	205
17 	69    	170.94	7.83814	156	190
18 	60    	166.81	7.65075	156	194
19 	53    	164.55	6.58236	155	189
20 	64    	162.46	8.02175	149	189
21 	57    	158.99	7.95047	149	189
22 	55    	157.41	8.30915	144	181
23 	53    	154.58	8.0959 	144	177
24 	56    	152.16	7.78424	142	175
25 	50    	149.66	6.9946 	142	177
26 	59    	148.57	7.20174	141	175
27 	63    	150.69	10.5135	141	182
28 	55    	147.41	8.34996	139	177
29 	71    	146.24	7.86781	139	174
30 	62    	144.77	7.11879	138	174
31 	67    	145.41	9.36173	136	174
32 	67    	143.36	8.72527	135	173
33 	60    	142.35	8.75371	134	169
34 	56    	141.2 	8.91179	133	168
35 	65    	139.16	7.97336	132	179
36 	62    	138.88	8.75589	128	174
37 	67    	138.29	9.8907 	127	168
38 	69    	137.3 	10.0732	127	171
39 	57    	135.84	8.6876 	127	162
40 	57    	135.64	9.70517	127	169
41 	64    	133.98	8.87241	127	165
42 	68    	133.56	9.84004	125	167
43 	65    	132.77	10.4066	125	174
44 	62    	129.76	7.75128	125	158
45 	63    	131.54	10.0383	124	159
46 	56    	131.18	10.8244	124	168
47 	74    	130.97	10.1227	124	160
48 	53    	129.12	9.60237	123	164
49 	60    	130.08	10.674 	124	159
50 	57    	130.18	10.1493	123	155
51 	64    	129.07	9.32765	123	155
52 	58    	130.95	11.9886	122	165
53 	51    	127.99	9.36215	122	158
54 	64    	128.51	9.94836	122	159
55 	62    	128.43	10.588 	122	161
56 	59    	127.89	10.6807	122	166
57 	48    	125.51	8.80511	122	167
58 	64    	126.97	10.8217	122	163
59 	47    	126.53	8.91342	122	157
60 	70    	126.47	9.52203	122	155
61 	64    	126.22	9.19302	122	156
62 	71    	125.56	8.48094	122	153
63 	61    	127.85	11.178 	122	162
64 	75    	128.96	10.7153	122	164
65 	64    	128.64	11.7971	121	161
66 	64    	128.26	10.4801	121	161
67 	68    	126.41	9.53844	121	156
68 	56    	126.67	9.46895	121	160
69 	52    	125.83	10.1755	119	167
70 	54    	126.47	9.16347	119	154
71 	51    	125.7 	9.39628	119	159
72 	60    	126.78	10.3948	119	159
73 	71    	126.8 	11.0272	118	156
74 	51    	125.3 	11.4477	118	158
75 	56    	124.66	10.9117	118	157
76 	66    	124.54	11.0095	118	161
77 	56    	123.05	9.85533	118	157
78 	68    	123.61	10.6178	118	156
79 	59    	123.67	11.4246	118	160
80 	58    	123.85	10.6521	118	153
81 	47    	122.36	9.77806	118	154
82 	60    	122.35	9.83603	118	152
83 	49    	121.94	9.53606	118	157
84 	70    	123.09	10.0659	118	156
85 	55    	125.52	12.1692	118	160
86 	65    	122.64	9.3963 	115	152
87 	55    	122.99	9.74422	115	152
88 	61    	123.28	10.5034	115	152
89 	52    	121.47	9.56186	114	154
90 	60    	121.57	10.0432	113	152
91 	57    	120.3 	9.94837	113	155
92 	58    	119.24	10.1392	113	156
93 	45    	119.32	10.6055	113	158
94 	63    	119.7 	11.5849	113	153
95 	64    	118.47	10.9722	113	150
96 	68    	119.57	11.5743	113	152
97 	70    	119.65	11.6742	113	154
98 	59    	118.98	11.4184	113	162
99 	57    	116.72	9.1805 	113	148
100	57    	118.51	11.4617	113	159
101	67    	119.45	12.2437	113	153
102	62    	119.57	11.728 	113	147
103	58    	117.98	10.3865	113	148
104	65    	119.87	12.1307	113	159
105	72    	118.15	11.0339	113	158
106	61    	118.58	10.802 	113	150
107	55    	117.02	9.16622	113	147
108	52    	117.63	10.2398	113	159
109	63    	119.88	10.8915	113	147
110	66    	121.51	12.9642	113	155
111	52    	117.56	9.59929	113	147
112	66    	117.18	10.3927	113	154
113	55    	117.82	10.3686	113	152
114	52    	117.23	10.1861	113	168
115	59    	118.76	11.5396	113	150
116	65    	118.6 	11.3534	113	159
117	58    	116.44	8.96138	113	149
118	57    	118.98	12.0855	113	171
119	72    	119.74	12.0629	113	151
120	70    	119.42	11.4692	113	151
121	60    	119.67	11.6825	113	155
122	48    	117.99	11.0847	113	155
123	74    	118.27	10.9853	113	153
124	66    	119   	10.7713	113	147
125	74    	118.19	10.1417	113	154
126	51    	117.61	10.5223	113	156
127	61    	119.46	11.905 	113	151
128	64    	118.71	11.4309	112	158
129	67    	116.81	9.33134	112	147
130	74    	120.02	12.1639	112	151
131	69    	116.85	9.25891	112	150
132	62    	116.99	9.20923	112	145
133	65    	118.39	10.8129	112	147
134	60    	116.9 	10.0245	112	150
135	60    	116.94	10.0497	112	146
136	55    	118.42	11.4579	112	150
137	63    	117.58	10.4825	112	149
138	52    	117.97	11.4468	112	155
139	65    	117.21	11.1869	112	156
140	66    	118.11	11.2106	112	146
141	62    	116.92	10.2535	112	149
142	63    	116.33	10.1411	112	147
143	70    	118.85	11.6055	112	155
144	66    	118.14	11.3402	112	148
145	58    	116.22	9.36865	112	147
146	54    	117.56	11.4859	112	157
147	69    	118.78	11.559 	112	148
148	69    	118.11	11.1883	112	148
149	60    	117.78	11.1244	111	154
150	70    	118.96	11.7132	111	156
151	62    	116.73	10.9031	111	156
152	68    	117.16	10.484 	111	147
153	56    	117.84	11.3743	111	154
154	59    	117.22	11.2112	111	158
155	58    	117.11	10.5744	111	150
156	61    	115.61	10.5848	111	152
157	57    	116.16	10.1022	111	145
158	51    	118.11	12.4506	111	161
159	59    	114.96	9.28862	111	151
160	55    	116.54	11.0882	111	149
161	65    	115.28	9.58966	111	147
162	55    	116.15	10.767 	111	149
163	67    	115.6 	10.2898	111	146
164	56    	116.25	10.6802	111	148
165	58    	114.93	9.72652	111	150
166	59    	116.92	11.1236	111	146
167	67    	117.09	11.7227	111	157
168	59    	116.48	11.466 	111	155
169	61    	116.41	10.7127	111	152
170	45    	114.16	8.45544	111	143
171	64    	116.24	11.078 	111	150
172	64    	116.57	10.1953	111	145
173	60    	116.56	11.0121	111	151
174	64    	116.86	11.5343	111	152
175	67    	115.63	9.65987	111	144
176	63    	115.59	10.1312	111	149
177	49    	117.68	12.1185	111	160
178	65    	115.33	9.81025	111	144
179	57    	115.87	10.2466	111	146
180	60    	115.06	9.50349	111	145
181	75    	116.16	10.9615	111	148
182	67    	115.47	10.2386	111	152
183	68    	116.49	10.5399	111	146
184	67    	117.06	10.9971	111	152
185	55    	115.55	10.1315	111	148
186	57    	115.21	9.68225	111	147
187	65    	118.64	11.9252	111	147
188	57    	116.17	10.4154	111	147
189	63    	116.64	11.0458	111	145
190	60    	115.91	10.3693	111	149
191	65    	116.52	10.6953	111	151
192	64    	115.05	9.11962	111	144
193	64    	115.2 	9.14549	111	144
194	63    	116.45	10.456 	111	146
195	57    	115.02	9.88633	111	148
196	64    	115.91	9.6872 	111	148
197	72    	117.99	12.1206	111	151
198	60    	117.67	12.0441	109	157
199	67    	115.99	10.0822	109	146
200	68    	116.93	11.1555	109	146
201	65    	115.03	9.75649	109	147
202	58    	115.31	10.902 	109	152
203	81    	115.26	11.3689	109	149
204	67    	114.29	10.2852	108	147
205	53    	114.65	10.6107	104	144
206	67    	114.16	11.7548	104	149
207	64    	113.89	10.9379	104	150
208	50    	114.1 	11.4363	104	145
209	55    	113   	10.894 	104	144
210	64    	112.78	11.0014	104	144
211	59    	112.63	11.155 	104	144
212	63    	108.8 	8.743  	103	141
213	66    	109.2 	10.3305	103	143
214	56    	110.94	12.5218	103	143
215	61    	109.19	11.5557	103	160
216	53    	107.85	9.58058	103	138
217	57    	109.91	11.7227	103	146
218	56    	108.86	11.4813	103	144
219	58    	108.77	11.4716	103	141
220	64    	108.92	11.8277	103	150
221	60    	109.05	11.8164	103	144
222	66    	109.61	12.3247	103	143
223	68    	108.66	10.941 	103	144
224	54    	108.97	11.4991	103	141
225	73    	108.41	10.6443	103	141
226	52    	109.04	11.421 	103	146
227	73    	108.59	11.4246	103	152
228	58    	110.73	13.0322	103	147
229	59    	109.85	12.1502	103	144
230	59    	107.83	10.7685	103	145
231	64    	109.83	12.5945	103	147
232	64    	109.22	11.988 	102	143
233	61    	108.91	10.9216	103	135
